time,opens,highs,lows,closes,volumes,qavs,numTrades,tbbavs,tbqavs,rsis,obvs
1652191740000.0,-3.575539648832593,-3.5792556956785972,-3.6559428786071964,-3.6523239596743804,260.3765440637893,215.21392899545748,123.93294639617154,189.27076747988448,156.1415361190225,-0.11594492446863212,72.52616034437001
1652191800000.0,-3.652297260425078,-3.624173335885743,-3.680579456714039,-3.6860108531475935,379.80525152843353,313.71228017492217,145.57305944156766,340.0127259127924,280.32740216077974,-0.07959399741637313,178.29218252710896
1652191860000.0,-3.6861238356068013,-3.6572484157262646,-3.6907980374060823,-3.672564109806934,273.42920484014,225.43865671710864,99.56651989623732,265.78212928452245,218.6976790158318,-0.10779196498126077,43.13196143387079
1652191920000.0,-3.67267724671469,-3.670352313883419,-3.7418209505875835,-3.727261539749927,559.3363860549657,460.44868769840105,190.89802062326345,284.16585373854946,233.52356316155578,0.31003978106228364,199.5405161586051
1652192100000.0,-3.7075543366536112,-3.6674792666938836,-3.703326297295641,-3.6750853741833085,250.7408104268272,206.5782141501026,118.99150325982124,209.24780325352938,172.02144909110692,-0.0772660420895666,-29.45767580208433
1652192160000.0,-3.675198482131959,-3.673575732681436,-3.719634032235685,-3.7136046910445715,288.1679935470119,237.2198747030098,117.37275464618925,184.42876830348513,151.5112613543602,0.23643091336813415,51.28096192344958
1652192220000.0,-3.7136473222453494,-3.712677204187813,-3.7409810672430326,-3.7098928296015754,206.1211482416223,169.35752938675807,111.49414125984148,172.06656283855935,141.07865574717962,0.4578700435417283,-51.55139920245113
1652192400000.0,-3.7088149543622455,-3.702936873472068,-3.736851640798987,-3.7074416003467685,207.5067195671813,170.5770511850176,102.37803064622973,182.09074454315189,149.37923486773977,1.0991196182638645,-93.04305195529584
1652192460000.0,-3.707414268019315,-3.701745610003235,-3.736921631077701,-3.7305531904635276,144.37291837510247,118.70685224634414,74.6037123281229,90.84915590952302,74.53332911049567,1.1276109110484103,-53.39783029985344
1652192520000.0,-3.7305956269947855,-3.731807494010826,-3.7770260607800337,-3.7580769932389377,230.69722900636006,189.20871553354726,127.17044362343553,194.74696160956617,159.39958554160415,1.1688749380883818,10.546468456632976
1652192760000.0,-3.783401502123191,-3.778266769295286,-3.820979955811562,-3.8190775841228652,215.78165942815866,176.56029690817508,107.40467107803435,164.6570845469658,134.46311622109783,0.8414158704779469,49.46078766825201
1652192820000.0,-3.8190489695507206,-3.812953558534813,-3.82790899340411,-3.8289525362636607,209.1201278540153,170.8877246357435,112.6869033962019,152.31200052136296,124.22080300000285,0.8619316914802174,-48.1526417392196
1652192940000.0,-3.832005318222812,-3.7940334916768896,-3.8274190614531203,-3.820898497283578,158.6981729159788,129.758253378737,97.35139021442512,123.34638452774799,100.6466658026049,1.6374591278166901,238.95350806482278
1652193000000.0,-3.821009930430822,-3.7945940862504575,-3.8218898294348236,-3.7893826925789083,174.9605120874945,143.04292625622355,85.25337425991232,176.7379089803954,144.21556702252957,0.8656419376643415,129.20749434653297
1652193060000.0,-3.7893544190806367,-3.78078944487634,-3.8060020361670586,-3.8033897168920947,195.21432183093162,159.82298119092565,97.94777128260533,129.65917849483944,105.94690617817365,1.0205551663480745,264.0959299607013
1652193120000.0,-3.8033612825099223,-3.8079782816943957,-3.8309185753887514,-3.811723896358441,159.22331806929708,130.1340221952143,95.39185241897587,156.23919558114994,127.44344666269944,1.0261392135911769,251.0244122121931
1652193360000.0,-3.8959466497774975,-3.86929331317841,-3.8999289901993976,-3.8993378334374245,377.20123412127924,307.0861739689648,147.27700535065398,230.3462933028281,187.14765322846438,1.36859727525024,523.337400920319
1652193480000.0,-3.9191980430701125,-3.919536601834455,-3.9492021464130835,-3.9422693629573415,313.5135001165667,254.49247383620482,159.88620507789267,184.10605724018072,149.1255764778305,1.5112551179660039,692.0673531891547
1652193540000.0,-3.942239333411287,-3.920447568016504,-3.958790814596712,-3.936106272259539,241.02787657663467,195.59946117927228,122.91057885071976,153.63785952139287,124.4364072773056,1.3839120155686806,532.6181300043606
1652193720000.0,-3.964440211946705,-3.9610206002784976,-3.9988952442990446,-3.9929747909710755,375.0047469169326,303.5658519063326,166.190804941512,277.5483823553093,224.17898157127203,1.4131062040402729,580.6849293924447
1652193780000.0,-3.9930842476595947,-3.982112971108997,-4.0238817737994514,-3.9919242641475856,378.6753639038609,306.0759162834367,155.54114300972256,210.61193989761946,169.92156814196474,1.5650912676741984,532.993212585668
1652193960000.0,-4.02803137191566,-4.024507935735088,-4.066995785486426,-4.044800780929866,444.509604359665,358.4861673954774,199.16215828233206,359.1472324981145,289.048246495171,2.1539764552513097,758.87522502975
1652194020000.0,-4.044909642347948,-4.033267225947091,-4.1162689417001115,-4.114975972738931,804.7179358933533,647.4844928590621,264.59368119124633,640.0103755396755,513.7329291972894,2.1626570555953712,938.7896117391114
1652194200000.0,-4.148840568993247,-4.1394998976382515,-4.1920684135458846,-4.179828495308982,825.9889245345023,661.4813332191571,280.9515619184749,438.3653605370289,350.3067406242875,2.1757520391223015,1217.2131202395872
1652194260000.0,-4.179865771489113,-4.150151194536046,-4.180170066164736,-4.171914526572034,290.4059036167861,232.48035535926732,128.95958682797615,199.16808212588717,159.12800376727353,2.041017362800583,732.4180065904327
1652194320000.0,-4.172021927968714,-4.155056397054769,-4.173171038293474,-4.176116633865989,263.9409939553899,211.3028929574004,134.58260832796097,195.64089020077452,156.29890146029442,2.0232317909138806,733.35602213138
1652194500000.0,-4.110811934782738,-4.107125561014692,-4.162252554814305,-4.157487291529453,222.52059284116189,178.46618974878874,122.22900048708523,188.25183133066855,150.6489576821218,1.2795657705156338,488.8001872206476
1652194620000.0,-4.121667253940433,-4.096193966830114,-4.12662750294958,-4.092704804080965,416.5265657227724,334.4604039390974,131.08951921433405,370.54526936870786,296.96636612020916,0.5874192720764579,415.5674315637313
1652194680000.0,-4.092813115276106,-4.071317582628026,-4.097301576168991,-4.09361526066132,444.2426296234296,357.4962434019948,139.86484064612853,311.979702088529,250.51645062628043,0.4779711014114136,433.84255590157886
1652194740000.0,-4.0936535270818615,-4.0989969396979555,-4.145594868480701,-4.12842271607959,182.67466386443692,146.51074204433925,106.0415143507653,167.90128153441663,134.40273539258578,0.5861526650105902,393.47725361758665
1652194800000.0,-4.128460582703638,-4.109227790665574,-4.140275607298543,-4.126181592189479,246.29765363924938,197.6962175860632,105.53033057803941,174.54159319839292,139.80216106715602,0.4884571008281792,290.6454625867379
1652194920000.0,-4.1054192923624635,-4.072789143383643,-4.106190341565497,-4.0884326616654425,296.3688247877437,238.36255319170337,129.89675707797363,238.76383141947747,191.64856143948543,-0.3828230502883897,-171.84470401100845
1652194980000.0,-4.088470987613028,-4.093881514214146,-4.14657473238268,-4.15132420083165,262.54238417246006,210.6484957366145,107.1490791916714,273.0283925438816,218.5990084312661,-0.01785633449949925,-189.96829421172745
1652195220000.0,-4.234562573180476,-4.203968273598589,-4.228673329312586,-4.231304309659945,200.05002131619486,159.6798626837974,112.34611421438464,151.07532737944564,120.34228248151726,0.5808362809915489,32.08725647882358
